アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,移動時間,経過時間,最低高度,最高高度
ラン,2025-12-07 11:39:16,false,"奥多摩町 ラン","8.32","471","00:28:43","170","181","4.1","175","184","3:27","2:38","43","85","1.63","6.3","10.3","211","3:29","405","0.0","400","538","5,018","-7","19.0","いいえ","00:01:09.0","9","30.0","00:28:39","00:28:43","218","287"
ラン,2025-12-07 11:23:15,false,"奥多摩町 ラン","0.10","4","00:00:16.4","126","130","0.1","164","198","2:45","2:32","--","--","2.03","4.3","8.6","194","3:02","--","0.0","421","544","48","--","25.0","いいえ","00:00:16.4","1","25.0","00:00:16.4","00:00:16.4","283","284"
ラン,2025-12-07 11:19:10,false,"奥多摩町 ラン","0.12","9","00:00:47.5","127","138","0.5","142","161","6:37","4:53","--","--","1.17","8.8","9.9","285","6:24","302","0.0","237","326","118","-1","25.0","いいえ","00:00:47.5","1","26.0","00:00:45","00:01:56.0","285","286"
ラン,2025-12-07 10:50:53,false,"奥多摩町 ラン","1.93","122","00:09:54.6","138","162","2.1","156","167","5:07","4:16","19","19","1.23","8.6","10.5","271","5:06","311","0.0","297","429","1,570","-4","25.0","いいえ","00:09:54.6","1","30.0","00:09:50","00:14:55","261","287"
ラン,2025-12-07 06:31:35,false,"渋谷区 ラン","0.85","51","00:04:03.7","133","144","1.0","154","170","4:46","3:21","10","1","1.34","8.0","10.7","257","4:41","337","0.0","331","573","658","--","28.0","いいえ","00:04:03.7","1","29.0","00:04:01","00:04:03.7","28","40"
ラン,2025-12-06 15:09:07,false,"渋谷区 ラン","5.86","354","00:27:46","138","167","2.9","160","179","4:44","3:14","60","49","1.33","8.2","10.7","263","4:37","351","0.0","332","546","4,446","-5","20.0","いいえ","00:00:41.8","6","28.0","00:27:41","00:30:17","15","45"
トラックラン,2025-12-03 20:04:45,false,"松戸市 トラックラン","1,000","37","00:02:58.7","135","158","1.2","186","195","2:59","2:26","--","--","1.87","5.0","9.2","198","--","469","0.0","471","727","538","--","17.0","いいえ","00:00:36.9","3","18.0","00:02:57.7","00:02:58.7","12","13"
トラックラン,2025-12-03 19:26:35,false,"松戸市 トラックラン","7,990","470","00:31:12","155","162","3.6","173","178","3:54","3:23","--","--","1.53","6.9","10.5","224","--","398","0.0","397","471","5,344","-6","17.0","いいえ","00:01:31.2","20","23.0","00:31:08","00:31:12","11","23"
ラン,2025-12-03 18:50:52,false,"松戸市 ラン","3.13","203","00:16:50","135","158","2.1","151","200","5:23","3:58","44","31","1.21","8.5","10.2","271","5:12","314","0.0","290","475","2,628","-4","25.0","いいえ","00:16:50","1","29.0","00:16:43","00:21:38","10","31"
トレッドミル,2025-12-02 13:27:01,false,"トレッドミル","1.89","107","00:10:03","124","143","1.4","159","165","5:18","4:49","--","--","1.19","8.7","10.3","273","--","282","0.0","277","308","1,622","-1","--","いいえ","00:10:03","1","--","00:09:53","00:10:03","--","--"
ラン,2025-12-02 10:29:06,false,"葛飾区 ラン","0.76","55","00:04:55.5","125","151","0.8","119","177","6:31","3:39","13","4","1.13","8.2","9.1","266","6:15","282","0.0","218","458","622","-1","27.0","いいえ","00:04:55.5","1","31.0","00:04:37","00:05:12.4","4","18"
ラン,2025-12-01 11:04:40,false,"葛飾区 ラン","1.96","130","00:10:16","141","150","2.0","161","176","5:14","4:05","7","13","1.18","8.8","10.2","273","5:16","296","0.0","286","394","1,656","-1","23.0","いいえ","00:10:16","1","25.0","00:10:16","00:10:16","5","15"
ラン,2025-12-01 10:25:57,false,"葛飾区 - 4×1×(3′High/1′Low/2′High","8.85","547","00:36:01","161","172","3.8","169","188","4:04","2:54","10","7","1.43","7.4","10.1","236","4:03","378","0.0","357","500","6,076","-8","21.0","いいえ","00:00:00.7","25","25.0","00:35:53","00:36:11","4","9"
ラン,2025-12-01 10:05:36,false,"葛飾区 ラン","3.33","200","00:16:05","134","151","2.2","158","184","4:50","2:53","20","1","1.31","8.4","10.7","267","4:48","323","0.0","320","525","2,568","-5","23.0","いいえ","00:16:05","1","27.0","00:15:58","00:18:38","5","22"
