アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間
筋力トレーニング,2025-10-21 12:19:30,false,"筋トレ","0.00","179","00:31:17","97","157","0.6","--","--","--","--","--","--","--","--","--","--","0.0","--","--","304","152","17","-4","いいえ","00:31:17","1","--","--","--","00:15:19","00:31:17"
筋力トレーニング,2025-08-14 06:04:17,false,"Strength","0.00","12","00:02:29.0","91","104","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","2","--","いいえ","00:02:29.0","1","--","--","--","00:01:52.7","00:02:29.0"
筋力トレーニング,2025-07-01 16:12:52,false,"Strength","0.00","46","00:09:09.6","92","117","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","40","20","4","--","いいえ","00:09:09.6","1","--","--","--","00:05:13.5","00:09:09.6"
筋力トレーニング,2025-06-26 16:23:17,false,"Strength","0.00","80","00:21:39","83","117","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","82","41","11","-1","いいえ","00:21:39","1","--","--","--","00:11:13","00:21:39"
筋力トレーニング,2025-06-12 17:16:51,false,"Strength","0.00","121","00:20:38","96","166","0.4","--","--","--","--","--","--","--","--","--","--","0.0","--","--","264","132","9","-2","いいえ","00:20:38","1","--","--","--","00:10:52","00:20:38"
筋力トレーニング,2025-06-06 17:23:00,false,"Strength","0.00","62","00:15:04","82","115","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","20","10","3","-1","いいえ","00:15:04","1","--","--","--","00:09:35.3","00:15:04"
筋力トレーニング,2025-06-03 17:09:12,false,"Strength","0.00","43","00:10:17","84","101","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","5","--","いいえ","00:10:17","1","--","--","--","00:07:00.5","00:10:17"
筋力トレーニング,2025-05-30 15:12:29,false,"Strength","0.00","125","00:28:06","87","128","0.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","228","114","15","-2","いいえ","00:28:06","1","--","--","--","00:16:05","00:28:06"
筋力トレーニング,2025-05-15 17:25:28,false,"Strength","0.00","183","00:25:01","105","134","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","66","33","4","-2","いいえ","00:25:01","1","--","--","--","00:17:50","00:25:01"
筋力トレーニング,2025-05-08 17:08:44,false,"Strength","0.00","176","00:38:11","88","127","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","282","141","12","-2","いいえ","00:38:11","1","--","--","--","00:13:19","00:38:11"
ジムおよびフィットネス器具,2025-01-31 19:12:28,false,"ジムおよびフィットネス器具","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2025-01-29 13:29:20,false,"Weight","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
筋力トレーニング,2025-01-23 01:02:16,false,"筋力ワークアウト","0.00","19","00:03:08.4","95","116","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","24","12","1","--","いいえ","00:03:08.4","1","--","--","--","00:03:08.4","00:03:08.4"
HIIT,2025-01-21 16:22:36,false,"タバタ(3m)r=1m*5","0.00","114","00:08:06.3","148","163","2.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","3","-1","いいえ","00:08:06.3","1","--","--","--","00:06:08.0","00:08:06.3"
HIIT,2025-01-20 20:45:11,false,"タバタ(3m)r=1m*5","0.00","295","00:21:59","144","164","2.7","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","4","--","いいえ","00:21:59","1","--","--","--","00:19:00","00:21:59"
筋力トレーニング,2025-01-18 11:29:09,false,"筋力ワークアウト","0.00","26","00:03:23.6","105","135","0.1","--","--","--","--","--","--","--","--","--","--","0.0","--","--","80","40","4","--","いいえ","00:03:23.6","1","--","--","--","00:03:23.6","00:03:27.4"
HIIT,2025-01-16 13:04:01,false,"タバタ(3m)r=1m*5","0.00","259","00:20:38","140","162","2.4","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","6","-4","いいえ","00:20:38","1","--","--","--","00:15:03","00:20:38"
ジムおよびフィットネス器具,2025-01-11 17:04:09,false,"Mo Training × 3","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
HIIT,2025-01-11 16:38:07,false,"タバタ(3'+r=1')*3","0.00","260","00:21:59","133","162","2.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","4","-4","いいえ","00:21:59","1","--","--","--","00:19:00","00:21:59"
筋力トレーニング,2025-01-10 17:25:22,false,"Mo Training ×3","0.00","74","00:20:00","80","116","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","104","52","5","-1","いいえ","00:20:00","1","--","--","--","00:19:29","00:20:00"
ジムおよびフィットネス器具,2024-12-23 16:09:56,false,"Mo  training× 2","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2024-12-16 12:33:03,false,"Mo training ×3set","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2024-06-28 18:52:47,false,"ウエイトトレーニング","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2024-06-27 16:19:19,false,"Weight Training","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2024-06-25 20:49:03,false,"Weight Training","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
ジムおよびフィットネス器具,2024-06-21 20:54:00,false,"Weight Training","0.00","--","00:00:00","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","いいえ","00:00:00","1","--","--","--","--:--:--","00:00:00"
カーディオ,2023-12-21 23:10:03,false,"5分間プランクチャレン","0.00","18","00:06:15.7","77","96","0.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","22","11","5","--","いいえ","00:06:15.7","1","--","--","--","00:05:00","00:06:22.4"
